UAI;Libellé
0755890V;Sorbonne Université
0134009M;Université Aix-Marseille
0333298F;Université de Bordeaux
0383493R;Université Grenoble Alpes
0597065J;Université Lille
0542493S;Université de Lorraine
0691774D;Université Lyon 1
0342321N;Université Montpellier
0060931E;Université Nice Sophia Antipolis
0751717J;Université Paris 1 – Panthéon- Sorbonne
0751721N;Université Paris 5 – Paris Descartes
0751723R;Université Paris 7 – Paris Diderot
0921204J;Université Paris Nanterre
0911101C;Université Paris 11 – Sud
0350936C;Université Rennes 1
0673021V;Université de Strasbourg
0311382J;Université Toulouse 1 – Capitole
0311384L;Université Toulouse 3 – Paul Sabatier
